,Headline,Target
0,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",false
1,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”,false
2,"A cure for cancer, known as a Rife machine, was found in 1934.",false
3,Baby carrots are soaked in bleach and can cause cancer.,false
4,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",false
5,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",false
6,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",false
7,"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",false
8,"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",false
9,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",false
10,NASA photos of the moon and Earth show that “space is fake.”,false
11,The entire banking system in Canada is closing down.,false
12,A “small area” in western Texas and southeastern New Mexico “has enough oil to fuel America for the next 200 years.”,false
13,"""Plankton in the Atlantic Ocean is 90% gone.""",false
14,Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,false
15,Germany weather maps show media exaggerating effects of climate change.,false
16,‘The White House is now trying to protect Joe Biden by changing the definition of the word recession.',false
17,"""To date, nobody has been able to show that there is a law for the average American citizen working day in and day out to pay an income tax.""",false
18,"Val Demings ""called abolishing the police 'thoughtful.'""",false
19,"""The emissions generated by watching 30 minutes of Netflix is the same as driving almost 4 miles.”",false
20,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",true
21,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,false
22,"Antarctica has “an entrance to a different world” — a “mythic land” with green forests, giant animals, and “extraterrestrial technologies.”",false
23,Sen. Joe Manchin and AARP “support government price-setting schemes” to divert money from Medicare to “unrelated government programs or pad big insurers’ profits.”,false
24,"Jim Jordan said, “It’s finally happening! Adam Schiff will be impeached.”",false
25,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",false
26,“Know what they always find in Alzheimer’s patients? Excessive aluminum in the brain. Know what makes your body hoard aluminum? Fluoride.”,false
27,"A cure for cancer, known as a Rife machine, was found in 1934.",false
28,Baby carrots are soaked in bleach and can cause cancer.,false
29,"In its July “red alert” for extreme heat, the U.K.'s Met Office warned that high temperatures could cause blood clotting.",false
30,"""A Jackson, Tennessee, employee passed out this morning from handling a dollar bill with fentanyl on it.""",false
